released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,mode
30,180,80,71,68,6,10,37,Minor
18,150,65,11,58,0,12,9,Minor
18,189,55,86,44,40,7,4,Major
15,85,72,55,64,49,7,4,Major
18,140,59,73,45,44,34,3,Major
16,81,77,68,70,6,17,20,Major
25,104,80,24,65,2,9,4,Minor
3,129,42,33,44,62,8,6,Major
29,94,76,81,80,20,25,4,Minor
31,71,41,23,40,27,30,5,Minor
16,146,59,23,46,66,15,6,Minor
27,103,69,90,88,5,29,8,Minor
1,124,53,66,78,0,16,5,Major
21,164,70,71,58,24,7,13,Minor
10,138,69,35,57,12,10,9,Major
8,126,67,37,46,13,10,39,Minor
22,103,61,47,65,3,17,4,Minor
31,95,75,64,52,41,11,3,Major
22,200,39,28,77,4,6,29,Minor
1,129,86,75,52,54,10,4,Major
28,98,68,33,43,38,36,14,Minor
8,107,91,32,56,3,11,10,Major
23,174,58,56,83,5,7,4,Major
17,92,45,27,67,32,13,14,Major
25,90,81,59,83,9,11,5,Major
31,147,60,58,69,2,58,4,Major
1,143,68,41,55,16,10,12,Major
11,101,76,63,71,3,10,3,Minor
5,118,70,54,71,0,33,4,Minor
18,98,83,63,74,14,16,6,Minor
6,138,72,22,46,24,9,6,Minor
1,114,59,30,62,1,8,4,Minor
7,180,63,45,64,34,9,8,Minor
9,145,56,41,57,1,13,3,Major
30,115,78,63,64,1,7,4,Minor
31,82,79,48,84,13,21,23,Major
8,166,70,22,61,2,10,34,Major
30,92,86,91,79,29,60,16,Major
8,108,71,55,44,74,11,6,Major
25,84,71,63,45,45,11,3,Minor
25,95,69,90,91,6,35,4,Minor
17,135,93,77,45,25,13,27,Minor
13,110,57,6,27,84,9,3,Major
24,88,89,59,64,5,19,7,Major
30,119,87,28,50,12,10,10,Minor
18,120,58,71,80,15,7,41,Major
23,122,86,97,80,36,9,6,Major
18,98,78,83,75,41,27,8,Major
13,140,45,25,84,21,13,6,Minor
1,116,79,87,81,4,10,4,Minor
25,124,86,62,49,51,35,21,Major
25,105,91,73,72,13,9,15,Minor
5,118,68,24,58,44,6,3,Major
20,108,61,20,38,61,10,5,Major
9,100,61,53,38,84,28,44,Major
13,140,81,39,66,38,12,14,Minor
14,109,84,72,74,10,34,7,Minor
13,101,78,40,74,36,17,27,Minor
6,78,56,61,90,36,18,31,Major
6,93,79,22,55,31,12,5,Minor
13,87,52,32,83,24,17,43,Major
13,153,55,50,78,19,11,35,Minor
6,142,87,93,59,28,17,5,Major
13,96,85,41,43,39,12,21,Minor
12,125,50,39,78,4,11,33,Major
6,85,71,43,65,23,9,5,Major
13,140,92,78,57,46,14,9,Minor
6,196,66,58,79,23,22,20,Minor
13,134,78,51,43,69,14,9,Major
6,103,80,45,62,76,10,38,Minor
6,130,82,50,67,12,13,5,Major
13,108,65,52,69,31,8,36,Major
13,123,61,66,71,53,32,46,Major
6,152,84,74,69,21,18,6,Major
6,108,78,55,60,59,7,4,Major
13,72,56,56,47,76,8,36,Minor
6,121,86,67,65,42,35,7,Minor
13,138,57,71,82,19,15,29,Minor
6,188,50,41,50,69,12,6,Minor
14,110,80,26,85,23,11,21,Major
6,105,81,77,79,19,47,8,Major
6,118,63,60,70,5,9,31,Major
31,176,61,24,62,60,24,31,Major
6,158,83,41,65,0,11,8,Major
6,115,85,72,58,9,49,12,Minor
15,110,51,48,82,0,5,3,Minor
13,174,73,26,54,30,34,32,Major
29,130,91,91,96,3,3,9,Major
29,78,36,30,54,34,14,5,Major
13,104,44,74,42,88,9,9,Major
13,121,64,80,88,0,12,6,Major
10,105,83,32,82,14,12,4,Major
22,81,38,20,66,9,9,8,Major
13,170,37,14,24,80,11,4,Minor
13,78,43,60,38,76,48,38,Major
29,125,88,28,66,6,13,31,Major
13,92,66,29,65,23,8,7,Minor
22,140,84,61,42,31,9,9,Minor
25,96,61,32,90,25,10,9,Major
13,118,66,83,43,84,19,19,Minor
6,92,71,67,60,7,6,4,Minor
13,140,49,50,37,87,11,35,Minor
1,174,68,45,71,18,11,25,Major
26,127,77,53,78,19,29,4,Major
6,96,71,37,52,62,11,36,Major
29,150,82,82,66,13,11,6,Minor
13,100,87,46,60,1,13,16,Major
24,105,73,59,81,13,9,6,Minor
2,104,86,43,62,5,13,14,Major
23,154,54,45,79,1,17,5,Major
22,80,47,33,83,18,10,5,Major
24,150,53,14,43,64,13,3,Major
31,156,32,49,72,0,9,4,Minor
8,98,76,79,81,18,6,34,Minor
7,92,58,27,36,86,9,3,Major
6,144,47,7,50,32,7,4,Major
20,150,37,27,56,8,13,3,Major
9,138,70,31,44,84,9,39,Major
10,172,56,68,89,4,33,19,Major
10,77,72,70,82,2,4,17,Major
20,107,72,36,72,26,11,4,Major
20,114,51,39,29,90,10,4,Major
10,117,63,29,51,43,25,4,Major
20,146,69,63,45,48,18,4,Major
6,160,80,74,60,8,14,26,Minor
10,120,88,15,56,1,8,6,Major
27,100,82,76,70,16,8,5,Minor
10,158,60,68,84,4,24,11,Minor
20,142,56,40,54,72,10,4,Major
20,170,80,77,85,11,17,14,Minor
27,84,71,39,86,2,51,25,Minor
20,139,58,30,46,14,9,3,Major
1,151,73,88,67,20,32,5,Major
8,128,82,42,75,6,63,6,Minor
20,118,56,20,54,67,6,5,Major
20,183,65,88,72,36,20,3,Major
9,83,63,29,62,4,18,4,Minor
18,122,85,42,80,6,17,14,Major
20,165,72,90,48,32,18,23,Major
20,106,83,90,64,35,9,4,Minor
25,77,81,68,58,83,11,34,Major
1,91,57,30,89,10,33,8,Major
3,148,51,21,63,5,41,3,Major
20,114,71,90,81,31,13,3,Minor
10,120,91,63,77,12,10,5,Minor
2,92,83,56,82,10,9,5,Major
10,118,56,25,45,1,7,3,Major
18,123,60,46,71,3,16,4,Minor
12,89,52,28,48,54,19,3,Major
2,110,81,61,93,49,12,11,Minor
20,118,42,32,20,94,11,4,Major
15,90,68,54,76,21,11,20,Minor
13,130,49,14,40,82,11,3,Major
13,154,70,97,62,47,10,4,Minor
3,105,54,59,83,0,20,4,Minor
21,115,70,87,88,4,26,8,Minor
16,110,91,59,82,8,6,8,Major
17,125,51,5,68,12,15,6,Minor
10,102,73,62,75,0,34,8,Major
6,120,81,72,65,4,14,4,Minor
24,97,80,36,86,4,3,5,Major
24,140,44,41,92,0,44,7,Minor
1,97,78,31,72,1,11,4,Major
1,125,45,67,90,9,10,5,Major
12,88,80,55,56,13,8,9,Minor
19,170,56,52,64,11,45,7,Major
17,137,88,8,49,9,9,14,Minor
1,157,88,52,69,0,8,23,Major
3,130,95,83,57,54,10,25,Major
6,90,85,80,83,10,8,11,Major
24,183,44,44,67,7,12,13,Minor
2,128,58,68,91,2,27,11,Major
10,130,71,78,40,46,7,45,Minor
4,126,63,56,43,24,12,23,Major
5,120,77,94,87,2,23,12,Major
5,130,72,18,46,7,28,8,Minor
18,122,70,46,76,30,9,45,Major
5,172,74,46,58,15,13,8,Minor
20,103,61,38,62,14,23,40,Major
29,122,55,46,64,0,17,10,Minor
13,130,47,56,90,0,10,4,Major
1,105,81,70,65,24,8,4,Minor
11,120,90,73,51,39,9,6,Major
12,145,56,43,53,24,12,4,Major
22,99,79,64,59,28,11,14,Minor
1,88,79,66,65,5,25,14,Minor
15,126,81,90,73,28,29,4,Major
15,136,77,71,75,33,13,4,Major
18,113,70,97,59,55,27,12,Major
16,132,82,49,88,20,21,3,Major
20,135,77,74,74,47,34,8,Major
10,126,67,49,77,11,19,11,Major
9,102,67,72,74,30,36,4,Minor
22,125,68,80,92,10,9,12,Major
1,149,37,28,66,14,9,5,Major
15,137,74,71,89,24,15,5,Major
26,120,77,78,91,14,33,12,Minor
20,100,90,75,50,11,9,26,Major
3,164,70,58,57,25,15,7,Minor
10,93,65,79,66,31,22,7,Minor
13,180,65,52,80,5,6,25,Minor
15,79,34,22,31,43,10,7,Major
5,146,56,21,44,73,11,2,Major
10,103,37,17,27,75,10,3,Major
2,140,70,26,76,8,54,23,Minor
13,92,81,48,70,13,15,7,Major
23,102,64,4,60,11,19,4,Minor
22,118,82,75,85,33,11,4,Minor
13,93,78,75,62,6,15,6,Major
23,150,70,26,56,14,11,5,Minor
7,130,52,24,60,0,8,3,Major
14,83,65,24,53,6,51,4,Minor
18,102,84,43,75,5,6,8,Major
17,136,73,65,91,4,48,18,Minor
16,145,66,24,58,17,19,5,Major
21,130,57,24,37,11,16,3,Major
14,156,72,92,77,9,8,11,Major
29,123,57,50,85,5,16,4,Major
16,132,92,53,62,7,63,10,Major
18,125,49,13,74,0,9,4,Minor
14,162,74,22,67,0,11,46,Minor
22,138,80,82,81,14,13,36,Major
1,161,59,62,60,12,5,44,Minor
4,131,91,23,55,1,7,32,Minor
4,122,75,45,63,6,35,12,Minor
21,80,80,16,28,17,12,39,Minor
21,109,75,11,50,20,30,17,Major
4,158,84,33,36,2,39,59,Major
21,126,66,12,35,55,9,14,Major
4,104,73,25,61,1,32,7,Major
21,110,48,15,31,80,12,4,Major
4,130,77,20,70,1,16,5,Major
21,177,34,39,16,97,12,5,Major
21,158,48,55,84,43,15,12,Major
4,114,62,25,44,51,14,3,Minor
4,144,93,62,61,0,12,20,Major
28,125,54,22,76,0,14,3,Major
4,142,85,40,43,4,39,32,Minor
4,120,64,11,53,1,25,27,Major
21,96,57,55,74,22,8,4,Major
3,144,60,24,39,57,8,3,Major
21,166,42,7,24,83,12,6,Major
3,92,80,81,67,4,8,6,Major
20,97,82,67,77,8,12,5,Major
4,90,61,32,67,15,11,5,Minor
