released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,mode
4,104,77,36,63,1,36,5,Major
1,164,45,24,62,8,16,3,Major
20,118,68,61,82,2,50,3,Major
25,81,68,51,60,3,19,10,Minor
6,117,82,73,45,54,7,3,Major
2,174,45,10,37,97,64,4,Major
1,128,73,60,77,3,11,4,Major
5,145,60,43,27,94,14,4,Major
25,150,65,51,55,73,14,3,Minor
2,90,60,13,53,4,21,4,Minor
1,85,55,42,53,17,22,3,Major
1,180,33,38,71,20,28,5,Major
12,166,57,84,94,11,37,9,Major
25,160,71,40,50,16,16,22,Major
1,160,65,95,80,5,41,16,Major
1,92,70,81,63,4,8,4,Major
19,170,56,53,64,11,45,6,Major
6,96,83,93,65,58,9,8,Minor
17,120,67,40,52,86,12,4,Major
13,98,70,37,54,6,9,8,Major
21,92,53,12,34,1,12,4,Major
18,150,34,24,56,4,11,3,Major
21,94,37,17,47,2,11,3,Major
19,90,74,36,63,26,27,5,Minor
20,160,54,54,55,67,42,11,Major
30,120,70,59,75,24,9,4,Major
1,109,63,46,85,1,9,5,Major
13,129,57,41,66,63,12,5,Minor
16,157,54,75,60,30,7,5,Major
9,130,63,49,73,5,9,3,Major
6,107,65,19,72,10,13,25,Minor
7,146,50,67,89,0,19,8,Minor
10,139,48,37,41,32,10,10,Minor
1,116,74,76,70,7,13,3,Major
20,95,84,52,77,12,7,4,Minor
8,170,62,55,80,15,37,7,Minor
19,134,81,18,64,3,10,11,Minor
19,84,57,86,90,2,9,5,Minor
2,146,61,20,48,21,12,6,Minor
1,74,53,24,67,11,10,28,Minor
11,144,75,35,48,84,10,12,Major
24,136,77,79,73,15,27,10,Minor
15,100,56,53,55,53,12,4,Major
2,105,89,67,78,9,7,33,Minor
26,106,67,24,78,15,30,4,Major
30,132,85,53,68,40,9,4,Major
2,120,78,5,30,21,13,5,Major
17,155,82,51,39,2,9,49,Major
13,129,70,42,43,78,11,3,Major
29,135,80,85,74,62,8,9,Minor
2,98,73,45,62,28,13,13,Minor
31,124,84,64,39,3,11,4,Minor
2,135,77,28,55,18,22,15,Minor
23,107,78,39,53,30,11,6,Major
12,96,54,25,74,14,9,11,Major
30,123,71,58,70,30,32,19,Major
26,90,62,7,62,6,58,6,Major
2,117,72,45,59,14,20,21,Minor
4,133,78,90,84,31,7,4,Minor
2,96,74,61,83,11,35,6,Minor
1,149,66,85,60,40,14,13,Major
26,110,66,32,40,81,11,3,Minor
30,105,95,62,52,3,5,16,Major
22,105,80,69,78,28,11,14,Major
26,134,76,61,58,6,16,3,Major
8,170,71,59,56,4,27,12,Minor
2,81,59,26,60,46,25,13,Major
1,154,63,75,92,31,91,5,Major
29,169,69,69,51,63,38,4,Major
29,115,78,64,69,4,7,14,Major
5,84,43,14,74,1,19,8,Minor
18,93,79,58,62,11,11,23,Major
21,91,82,47,62,10,10,15,Major
7,142,82,54,44,6,33,7,Minor
19,126,78,20,70,1,16,4,Major
21,97,73,10,44,26,16,8,Major
2,101,92,59,51,41,26,8,Major
6,98,80,23,48,14,6,5,Minor
27,154,59,63,89,18,80,9,Major
14,120,91,63,58,52,31,22,Major
17,150,49,4,55,7,6,3,Major
21,174,47,27,78,11,10,8,Major
1,202,34,25,51,69,18,4,Major
4,153,56,42,52,5,36,24,Minor
14,142,60,13,37,58,13,3,Major
11,108,84,55,47,26,20,64,Minor
2,143,83,25,69,4,23,12,Major
14,108,67,55,67,60,80,5,Major
1,104,95,78,66,3,4,6,Minor
16,93,84,96,79,43,18,11,Minor
10,105,65,46,53,16,9,5,Minor
10,170,44,27,32,89,14,5,Major
4,178,62,56,66,18,12,5,Minor
5,176,50,44,76,10,32,5,Minor
1,104,80,38,88,11,11,5,Minor
21,85,70,83,84,31,47,30,Major
30,117,77,69,58,39,26,5,Minor
24,80,52,57,48,86,15,39,Major
7,98,44,36,41,50,38,5,Major
2,178,79,58,78,34,11,25,Minor
8,148,51,27,33,48,22,3,Major
24,120,77,94,66,65,38,3,Major
10,122,68,38,88,1,8,5,Minor
1,144,74,75,73,42,9,4,Major
4,96,93,47,47,33,10,36,Major
24,137,77,35,88,16,17,9,Major
22,121,94,71,61,12,53,42,Minor
21,119,60,10,57,1,50,3,Minor
23,96,72,40,47,71,13,4,Major
21,111,87,53,52,66,11,5,Major
14,148,90,74,68,14,10,19,Major
3,182,57,80,59,8,6,5,Major
9,141,79,82,86,28,4,9,Major
30,145,76,80,81,19,6,9,Minor
25,110,76,26,70,1,41,6,Minor
16,134,70,35,41,41,10,3,Major
28,130,92,78,62,18,6,10,Major
21,145,84,88,53,35,8,7,Major
5,130,69,36,90,1,15,4,Minor
28,173,59,69,53,12,23,3,Major
4,92,75,55,76,25,10,15,Minor
5,105,56,57,87,0,10,4,Minor
25,175,59,15,64,43,12,10,Minor
27,120,80,33,70,22,9,4,Minor
24,139,70,77,48,37,12,5,Minor
17,132,59,56,82,12,12,6,Minor
29,114,32,17,74,14,17,3,Major
4,145,54,19,48,36,37,5,Minor
16,110,82,67,69,0,18,4,Major
22,94,89,61,66,17,36,16,Major
29,134,45,17,60,21,33,4,Major
24,120,62,32,76,0,39,4,Major
2,123,70,86,68,24,11,4,Minor
3,131,77,84,71,35,15,4,Major
1,171,70,6,73,1,36,26,Major
26,130,80,64,76,2,20,6,Minor
2,94,82,53,67,34,9,8,Major
7,89,73,44,57,39,32,6,Minor
17,87,65,71,56,4,15,20,Minor
22,124,72,79,78,55,15,30,Minor
27,78,71,80,65,51,22,32,Major
1,120,70,70,79,7,18,10,Major
31,96,48,50,80,40,37,20,Minor
25,106,73,22,86,31,12,4,Major
24,170,78,75,46,62,12,35,Minor
24,134,67,11,76,8,30,7,Minor
20,115,71,90,73,30,11,5,Major
9,130,74,79,87,45,30,3,Major
20,118,65,63,79,3,10,3,Major
22,110,59,22,38,42,12,3,Major
29,100,72,42,66,18,19,4,Major
14,142,70,76,79,26,11,7,Minor
21,140,64,18,37,72,12,7,Major
10,116,90,96,73,62,9,4,Major
13,120,73,64,85,25,61,3,Major
1,92,76,46,79,31,7,6,Minor
26,110,81,64,79,5,31,3,Minor
21,120,71,57,97,1,13,11,Major
11,80,63,40,61,9,56,6,Major
13,115,95,43,69,47,9,31,Minor
28,76,58,46,67,65,13,4,Major
20,172,60,77,78,45,12,6,Major
9,99,40,45,56,69,9,5,Major
27,136,36,12,57,9,14,8,Minor
10,150,90,64,14,67,11,10,Minor
7,92,71,41,31,79,10,5,Minor
15,95,77,72,87,17,7,5,Major
25,102,83,58,83,21,10,5,Minor
9,145,70,34,55,43,16,6,Minor
24,110,50,24,86,0,64,4,Major
24,95,64,30,77,46,38,6,Major
3,94,68,81,82,53,9,13,Minor
2,142,61,92,91,0,26,3,Major
5,145,59,20,74,1,15,5,Minor
3,121,64,67,80,0,36,3,Minor
3,140,66,43,76,49,12,3,Minor
23,137,84,44,67,8,11,6,Minor
31,104,56,72,85,0,15,3,Major
17,92,57,68,76,7,33,3,Major
15,146,74,51,45,86,21,38,Minor
23,120,56,20,43,89,12,4,Major
31,144,68,83,81,9,8,4,Major
5,94,59,44,56,80,6,3,Major
31,94,73,65,79,5,11,6,Major
15,113,79,66,74,8,11,5,Minor
3,148,50,49,76,12,12,3,Major
3,98,70,29,73,12,11,26,Major
31,140,58,26,38,91,10,4,Major
9,100,36,28,28,81,18,3,Major
23,140,86,68,79,39,11,29,Major
1,100,59,78,94,27,29,23,Minor
1,100,59,49,65,2,13,3,Minor
19,132,87,82,70,42,21,5,Minor
3,142,49,48,67,10,26,3,Major
20,176,72,96,63,25,21,7,Minor
6,140,53,51,70,49,14,3,Major
24,105,55,40,90,1,32,6,Minor
8,135,81,97,77,75,35,3,Major
28,128,82,61,59,30,12,4,Minor
3,101,74,43,69,12,12,7,Major
6,122,88,43,50,7,14,5,Major
8,105,76,49,56,80,10,13,Minor
23,83,53,40,36,73,11,33,Major
3,77,72,59,76,24,42,28,Minor
25,140,75,18,25,78,11,26,Minor
3,158,65,72,95,31,92,5,Major
28,176,75,43,65,15,11,32,Major
20,98,73,88,57,56,5,2,Major
27,107,66,47,40,72,11,3,Minor
19,109,66,16,57,10,12,3,Minor
15,109,84,72,74,10,34,7,Minor
3,148,53,61,81,5,36,4,Major
20,158,60,52,76,17,19,5,Minor
29,94,74,64,73,6,10,6,Minor
12,96,70,40,51,35,10,4,Minor
6,100,80,29,67,29,12,3,Minor
24,105,58,42,68,1,14,4,Major
3,125,53,32,66,38,9,3,Major
27,170,56,56,63,13,19,27,Minor
27,115,70,84,90,17,41,6,Major
27,122,64,25,89,0,15,9,Major
17,105,88,82,80,8,11,8,Minor
30,133,66,74,84,25,21,4,Major
13,100,79,60,68,7,26,4,Major
28,120,82,55,45,15,9,10,Minor
28,177,25,17,30,90,13,3,Major
22,142,64,31,72,15,9,5,Minor
4,144,57,47,84,1,52,4,Minor
12,120,65,80,86,9,19,10,Minor
27,135,92,73,51,55,15,6,Major
9,107,81,82,78,38,12,4,Major
22,105,82,62,74,10,33,7,Major
25,108,44,38,77,9,9,20,Minor
1,147,51,62,79,22,14,3,Minor
20,115,71,34,88,16,44,4,Major
21,174,70,57,64,23,8,32,Major
12,90,68,83,71,3,31,8,Minor
21,141,41,9,25,84,14,4,Minor
1,82,68,50,49,56,8,4,Major
20,92,47,25,43,62,32,3,Major
12,116,77,65,80,6,15,4,Minor
2,124,79,59,86,4,8,11,Minor
27,125,71,83,89,1,17,9,Minor
19,90,80,71,69,2,27,10,Major
27,83,46,34,64,31,7,34,Major
31,124,79,68,79,1,10,8,Minor
8,140,58,4,60,7,8,3,Major
16,154,64,61,91,15,72,4,Major
23,150,74,89,70,2,5,6,Minor
10,186,41,9,61,2,12,5,Minor
