released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
1,12.289256198347108,121.6694214876033,64.39669421487604,48.27272727272727,61.35537190082645,31.39669421487603,19.0,9.190082644628099
2,12.592592592592593,126.12962962962963,68.62962962962963,52.98148148148148,60.5,27.425925925925927,18.444444444444443,9.055555555555555
3,16.05263157894737,122.39473684210526,67.46052631578948,52.31578947368421,67.14473684210526,24.32894736842105,17.644736842105264,10.18421052631579
4,13.34920634920635,116.0952380952381,72.34920634920636,54.904761904761905,66.88888888888889,22.6984126984127,19.253968253968253,10.761904761904763
5,14.084745762711865,123.77118644067797,66.91525423728814,53.42372881355932,63.728813559322035,27.838983050847457,19.23728813559322,10.652542372881356
6,15.512820512820513,124.41025641025641,69.91025641025641,53.256410256410255,64.37179487179488,30.858974358974358,17.78205128205128,10.705128205128204
7,13.019607843137255,118.72549019607843,68.80392156862744,53.84313725490196,67.01960784313725,23.80392156862745,17.54901960784314,9.568627450980392
8,13.707317073170731,116.1951219512195,64.14634146341463,52.5609756097561,68.1219512195122,27.170731707317074,19.51219512195122,8.21951219512195
9,14.607843137254902,122.52941176470588,65.45098039215686,50.86274509803921,62.27450980392157,26.666666666666668,17.88235294117647,9.450980392156863
10,15.424242424242424,125.45454545454545,62.45454545454545,50.78787878787879,64.28787878787878,31.21212121212121,17.045454545454547,9.06060606060606
11,14.27536231884058,127.43478260869566,65.01449275362319,48.507246376811594,66.31884057971014,26.840579710144926,18.869565217391305,10.333333333333334
12,13.971014492753623,119.52173913043478,67.40579710144928,52.405797101449274,63.73913043478261,28.434782608695652,16.47826086956522,10.507246376811594
