PCA1,PCA2,mode
-1.5760857468681593,-0.5439991775241224,Major
-1.0160000961367168,-0.16577710845026988,Major
0.9316955148076161,1.2621283017265008,Major
-0.3812034655148663,0.6717220370832748,Major
-0.11324346541277579,0.9719600796173083,Minor
-0.9798160096076586,-1.6449477042862521,Major
-0.4796879526141959,-0.15060505852282702,Minor
0.5893292141125728,0.11353824821029215,Major
-0.23611412796373704,0.2809630150495494,Minor
-0.27192965952851916,-1.6205521757504018,Minor
-0.16431342301460375,0.5789652307755006,Minor
-1.0035053096110615,0.4667018930752577,Minor
-0.7952064333524957,-0.3169275554160983,Major
2.795192307593435,-0.3596641525501879,Minor
-0.09574346589184467,1.4228846350157573,Minor
-0.3653025237875069,0.5498634507474994,Major
-0.410391304105943,-0.22679191378644378,Minor
4.733740628128539,-1.2924258724407636,Major
-1.3907010929661348,-1.4174874303383398,Major
-0.4950740209274137,1.5628572175443871,Major
-1.1517694917769645,1.1235672938110346,Minor
-1.2605146951172888,0.10122364353307993,Major
1.438457471363674,0.7627336399885994,Minor
-1.2847219593417274,-0.8596621671724152,Minor
-1.7956592317196425,-0.5659492668267969,Major
-2.323980711184184,-0.4242055353163679,Minor
-1.2427287563164877,-0.7696349204332718,Major
-1.5850426496885313,0.9795602117937038,Minor
0.6987994576286459,1.1702879607305299,Major
-1.815931556760966,0.9664829401603727,Minor
-1.0016529677251023,0.6702076160730852,Minor
-0.4201584851936308,0.8852576286002621,Major
1.0054267460225041,-0.24016690637501031,Minor
-0.16769973189396598,0.20333814039754472,Major
0.2826453978577777,-1.373504028976266,Minor
-0.8847225460245852,-0.1985785360433823,Major
0.5084875256942706,0.7772075292753197,Major
-0.6733326689995146,-0.17289020984961395,Major
-0.5579524250667866,0.8094546148181748,Major
-1.9024771127700608,-0.515608825855253,Minor
-0.2549950620036293,0.26457277229410114,Minor
0.08510399884557683,-1.7953375068976072,Major
-1.0692078375315188,2.245531384313627,Minor
0.6289800075203626,-0.7303472251139034,Major
-0.3199753493706819,-1.3671677365191683,Major
-0.2567289482272884,0.1642112330150671,Major
-1.4558378940667287,0.10800853261056334,Major
0.31064961124064305,0.3246213050482885,Minor
-0.1944459372229248,-0.3135590609599247,Major
0.5529587436960199,0.6417946255536191,Minor
0.3160222278634846,0.3181848551687527,Minor
-0.48962712593160046,1.6455486104901162,Major
-1.2569060257510702,-0.8588338605231111,Minor
-1.8461874445935518,0.21932836472350759,Minor
2.6970436986097526,0.30929051799255197,Minor
-0.27345882700927654,1.5875096906927533,Major
-0.4286832749498627,-0.18862693961998836,Minor
-0.7584375775896122,-0.938993082747637,Minor
-0.11481584137838143,-1.437460066788067,Minor
0.853237512984668,0.23114225385320117,Minor
-1.1979681914918048,-0.30510550602277037,Major
-1.2511830112300881,0.5512293218700834,Major
-0.17642196604775984,-1.7906302174011506,Major
0.4208580313395275,-1.5499344607859766,Minor
-0.9548025155324575,-1.6683132707020307,Minor
0.8234176027957587,2.5226201535182513,Major
0.39443719625625934,1.4628045314083846,Major
1.400612926182337,-0.020710270851443502,Minor
-0.4070707518073355,1.9306478702468466,Major
1.0707254518628186,0.7954453986394624,Major
-2.1079499375812207,0.9999254095730252,Minor
0.30813037210468425,-1.5684687702498592,Major
2.135298415167409,0.5368752145948807,Minor
-0.4880334806587317,0.9870041646108842,Major
-0.7676207157576035,1.2943117768783825,Major
0.7050034469817477,1.225827651595242,Minor
1.8374300696574952,0.087533089488566,Major
0.41270884253894247,0.49371809635620484,Major
-1.12470324019635,0.30718592470027545,Minor
-0.29981042248678536,0.5481867089355875,Major
0.7915527618979668,0.6731890029262712,Major
2.603722203330039,0.5642891200648993,Major
2.256597115896556,-0.37045542355524647,Major
0.8270382835249322,1.5865861449126684,Major
-0.35210621434996964,1.3204454036097935,Major
-1.0922052415786534,-0.038309323253451814,Minor
2.514177527677191,-0.48179620125594796,Major
-1.048785917161429,-0.8081666357471964,Minor
-0.1449712357276962,-0.29095599712137765,Major
-0.2598643056466611,-0.559317296016928,Major
-0.4241614531573697,-0.5086568818472565,Major
-1.4266437102144756,0.2871992937185249,Minor
-0.04543729546799239,1.1350878898026722,Major
1.0473813404213852,0.5267853718625998,Minor
0.8187457255156062,2.648310750105805,Minor
-0.5530267735642754,-1.9906861457134133,Major
3.1334074898710966,-0.40836884191718953,Minor
0.7086799088578916,0.3712088181752393,Major
0.6336449959873824,1.0479231120637595,Minor
-0.23041012658024146,1.0153476478229433,Major
1.7166795098088874,1.189561163421748,Major
0.332266001754171,0.3386605446640411,Minor
