PCA1,PCA2,mode,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
-1.5760857468681593,-0.5439991775241224,Major,14,125,80,89,83,31,8,4
-1.0160000961367168,-0.1657771084502698,Major,23,92,71,61,74,7,10,4
0.931695514807616,1.2621283017265008,Major,30,138,51,32,53,17,31,6
-0.3812034655148663,0.6717220370832748,Major,23,170,55,58,72,11,11,15
-0.1132434654127757,0.9719600796173083,Minor,18,144,65,23,80,14,11,6
-0.9798160096076586,-1.644947704286252,Major,1,141,92,66,58,19,8,24
-0.4796879526141959,-0.150605058522827,Minor,16,148,67,83,76,48,8,3
0.5893292141125728,0.1135382482102921,Major,7,100,67,26,71,37,11,4
-0.236114127963737,0.2809630150495494,Minor,15,130,85,22,62,12,28,9
-0.2719296595285191,-1.6205521757504018,Minor,17,170,81,56,48,21,8,33
-0.1643134230146037,0.5789652307755006,Minor,17,83,57,56,72,23,27,5
-1.0035053096110615,0.4667018930752577,Minor,7,150,78,52,82,18,15,7
-0.7952064333524957,-0.3169275554160983,Major,12,118,71,65,68,6,3,7
2.795192307593435,-0.3596641525501879,Minor,14,130,51,32,43,83,9,3
-0.0957434658918446,1.4228846350157571,Minor,31,174,52,66,73,34,31,6
-0.3653025237875069,0.5498634507474994,Major,8,89,64,43,73,5,16,4
-0.410391304105943,-0.2267919137864437,Minor,24,120,78,76,59,43,34,3
4.733740628128539,-1.2924258724407636,Major,13,78,44,14,9,96,10,3
-1.3907010929661348,-1.4174874303383398,Major,31,100,86,67,66,14,12,16
-0.4950740209274137,1.5628572175443871,Major,24,120,63,36,73,0,36,4
-1.1517694917769643,1.1235672938110346,Minor,22,140,65,87,74,22,42,4
-1.2605146951172888,0.1012236435330799,Major,7,123,69,82,76,6,6,3
1.438457471363674,0.7627336399885994,Minor,1,135,48,44,42,12,11,3
-1.2847219593417274,-0.8596621671724152,Minor,31,133,85,81,67,26,12,5
-1.7956592317196425,-0.5659492668267969,Major,2,99,85,83,68,7,36,20
-2.323980711184184,-0.4242055353163679,Minor,22,130,79,96,86,9,9,9
-1.2427287563164875,-0.7696349204332718,Major,25,107,80,82,80,43,14,4
-1.5850426496885313,0.9795602117937038,Minor,29,122,81,74,71,14,56,4
0.6987994576286459,1.17028796073053,Major,31,204,52,52,68,46,15,4
-1.815931556760966,0.9664829401603728,Minor,25,110,67,78,85,2,33,5
-1.0016529677251025,0.6702076160730852,Minor,13,126,74,35,84,0,11,6
-0.4201584851936308,0.8852576286002621,Major,28,168,56,63,87,39,11,5
1.005426746022504,-0.2401669063750103,Minor,2,98,71,17,61,36,8,5
-0.1676997318939659,0.2033381403975447,Major,21,97,64,51,63,12,19,5
0.2826453978577777,-1.373504028976266,Minor,23,180,72,61,63,67,9,28
-0.8847225460245852,-0.1985785360433823,Major,1,120,81,63,68,11,11,4
0.5084875256942706,0.7772075292753197,Major,7,150,61,39,73,37,11,3
-0.6733326689995146,-0.1728902098496139,Major,1,96,75,57,68,9,13,6
-0.5579524250667866,0.8094546148181748,Major,1,95,60,48,79,0,12,4
-1.9024771127700608,-0.515608825855253,Minor,19,125,79,96,85,27,11,6
-0.2549950620036293,0.2645727722941011,Minor,10,144,56,84,65,23,10,6
0.0851039988455768,-1.7953375068976072,Major,9,90,76,91,50,54,7,5
-1.0692078375315188,2.245531384313627,Minor,26,128,56,38,97,4,35,4
0.6289800075203626,-0.7303472251139034,Major,21,79,56,58,56,37,11,10
-0.3199753493706819,-1.3671677365191683,Major,23,144,77,75,58,52,23,25
-0.2567289482272884,0.1642112330150671,Major,27,122,67,49,64,10,10,3
-1.4558378940667287,0.1080085326105633,Major,13,140,71,82,81,11,6,5
0.310649611240643,0.3246213050482885,Minor,24,134,59,51,52,9,15,7
-0.1944459372229248,-0.3135590609599247,Major,21,186,68,49,59,16,13,28
0.5529587436960199,0.6417946255536191,Minor,24,67,53,50,53,23,44,7
0.3160222278634846,0.3181848551687527,Minor,2,106,72,17,64,7,10,5
-0.4896271259316004,1.6455486104901162,Major,6,128,60,23,91,0,12,3
-1.2569060257510702,-0.8588338605231111,Minor,24,107,92,55,70,18,15,7
-1.846187444593552,0.2193283647235075,Minor,15,130,67,96,88,12,8,4
2.697043698609753,0.3092905179925519,Minor,15,123,45,13,54,70,9,4
-0.2734588270092765,1.5875096906927533,Major,29,171,50,38,80,0,9,7
-0.4286832749498627,-0.1886269396199883,Minor,24,137,64,88,72,51,17,5
-0.7584375775896122,-0.938993082747637,Minor,26,125,84,85,68,58,22,4
-0.1148158413783814,-1.437460066788067,Minor,14,128,86,42,72,59,9,19
0.853237512984668,0.2311422538532011,Minor,24,130,61,53,58,55,27,4
-1.1979681914918048,-0.3051055060227703,Major,4,130,86,59,96,50,9,5
-1.251183011230088,0.5512293218700834,Major,3,133,70,86,81,25,25,5
-0.1764219660477598,-1.7906302174011506,Major,24,101,88,72,59,62,9,3
0.4208580313395275,-1.5499344607859766,Minor,24,95,77,53,64,74,17,14
-0.9548025155324577,-1.6683132707020307,Minor,6,98,90,40,59,0,10,29
0.8234176027957587,2.5226201535182518,Major,1,173,43,28,66,0,23,3
0.3944371962562593,1.4628045314083846,Major,21,90,64,10,62,7,48,7
1.400612926182337,-0.0207102708514435,Minor,2,198,59,71,42,55,10,7
-0.4070707518073355,1.9306478702468464,Major,14,140,56,48,73,0,35,4
1.0707254518628186,0.7954453986394624,Major,7,82,51,22,53,1,15,3
-2.1079499375812207,0.9999254095730252,Minor,23,130,77,84,89,17,43,5
0.3081303721046842,-1.5684687702498592,Major,28,81,76,53,53,44,9,9
2.135298415167409,0.5368752145948807,Minor,15,94,51,14,59,65,25,3
-0.4880334806587317,0.9870041646108842,Major,14,124,61,41,81,5,10,3
-0.7676207157576035,1.2943117768783825,Major,6,128,62,55,78,1,23,4
0.7050034469817477,1.225827651595242,Minor,1,138,49,42,62,9,11,3
1.8374300696574952,0.087533089488566,Major,17,132,58,27,48,50,12,3
0.4127088425389424,0.4937180963562048,Major,22,131,71,24,47,1,27,9
-1.12470324019635,0.3071859247002754,Minor,20,168,78,58,73,5,10,7
-0.2998104224867853,0.5481867089355875,Major,22,98,68,40,79,33,30,6
0.7915527618979668,0.6731890029262712,Major,1,102,48,50,73,43,15,4
2.603722203330039,0.5642891200648993,Major,22,101,34,32,57,78,20,3
2.256597115896556,-0.3704554235552464,Major,23,130,63,36,34,76,35,9
0.8270382835249322,1.5865861449126684,Major,7,142,50,20,64,1,12,3
-0.3521062143499696,1.3204454036097937,Major,9,170,59,48,76,4,10,5
-1.0922052415786534,-0.0383093232534518,Minor,3,124,78,70,68,3,11,4
2.514177527677191,-0.4817962012559479,Major,8,110,50,45,41,75,11,3
-1.048785917161429,-0.8081666357471964,Minor,6,92,91,43,71,9,9,8
-0.1449712357276962,-0.2909559971213776,Major,22,116,82,40,66,39,25,7
-0.2598643056466611,-0.559317296016928,Major,20,129,63,84,82,70,9,7
-0.4241614531573697,-0.5086568818472565,Major,24,98,71,67,60,19,12,3
-1.4266437102144756,0.2871992937185249,Minor,17,172,74,76,76,6,10,9
-0.0454372954679923,1.1350878898026722,Major,17,150,68,14,76,4,10,4
1.0473813404213852,0.5267853718625998,Minor,8,136,62,19,53,11,6,4
0.8187457255156062,2.648310750105805,Minor,5,88,53,34,47,9,83,4
-0.5530267735642754,-1.9906861457134133,Major,12,143,83,69,44,15,10,33
3.1334074898710966,-0.4083688419171895,Minor,17,100,49,17,35,71,11,3
0.7086799088578916,0.3712088181752393,Major,9,143,56,39,55,14,11,13
0.6336449959873824,1.0479231120637595,Minor,1,112,56,24,66,7,12,3
-0.2304101265802414,1.0153476478229433,Major,9,93,62,57,59,3,38,3
1.7166795098088874,1.189561163421748,Major,1,206,43,50,55,50,15,10
0.332266001754171,0.3386605446640411,Minor,2,88,68,17,71,15,11,5
-0.468270112564437,2.097876672085318,Major,14,170,50,37,90,0,12,5
0.3719901184220813,-0.6365635069450221,Minor,1,84,62,24,67,21,13,28
-0.1201988802429152,-0.4612873689233829,Minor,7,134,81,53,72,51,12,5
1.975019111308762,-0.2722933914675634,Major,20,158,54,50,40,61,10,6
-2.0187696301695954,-0.2286877819062545,Major,10,116,80,92,80,4,10,3
-0.3253196662038569,0.5226838483740472,Major,28,117,61,45,69,2,9,3
-1.1864671754596463,-0.2012196665072479,Minor,11,114,77,65,72,2,7,5
-0.1748954786299086,0.7705637649572095,Minor,1,108,61,47,68,0,13,3
0.1766618236347937,0.368580570594464,Minor,1,144,74,37,53,7,21,10
2.9854619511360285,0.0602699583418298,Major,2,130,51,18,44,76,11,3
-0.6264764763923022,-0.6791099229886058,Major,22,116,77,79,62,33,15,3
-0.748925909898495,0.9904497928248368,Major,7,121,65,49,78,0,17,4
-0.3138222186988887,0.1012681054627158,Major,17,112,64,54,81,36,11,6
0.2928654070497496,-1.9097771692458556,Minor,9,100,70,47,52,30,6,33
0.2413613836570195,1.0165824917069153,Minor,25,150,55,30,78,24,12,8
-1.896893009589036,-0.5222483725938432,Minor,8,120,84,96,71,18,34,17
-2.29768496992952,0.2312239555087954,Minor,12,127,82,89,85,4,23,6
1.2984418295445963,-0.1893152248051855,Major,24,90,51,42,61,53,9,3
-0.6001112105141838,-0.5114191823681342,Minor,22,128,75,79,63,33,15,4
-0.5662952664676394,1.2410845800696662,Major,10,143,64,31,87,4,8,4
-1.087009561300315,0.6642506622528869,Major,15,139,74,68,68,3,26,4
0.0762574890243399,0.904383545611684,Major,9,162,49,78,64,19,11,4
0.1596469254480549,-0.8386502536587136,Major,11,92,81,39,60,31,7,3
-0.8149455953902016,-0.5303036444172655,Major,19,95,87,57,55,10,29,7
-1.960407301023527,0.7068453342640774,Major,16,146,63,88,93,3,10,8
-0.678857976803299,1.3476612077806736,Major,17,95,55,56,82,12,34,5
4.320085243688074,-0.108114598223966,Minor,11,115,35,12,30,93,10,3
-0.870068524515047,0.2629801170344149,Major,21,128,78,59,65,10,26,5
-1.892277067715651,0.5871907365478024,Minor,15,130,82,69,83,3,27,5
-0.9008058281188872,-0.3615982615067204,Minor,2,127,80,74,77,36,11,4
