X,Y,mode,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
-46.697350407791134,-7.437096321123978,Major,14,125,80,89,83,31,8,4
-26.97789645418411,29.93225497856981,Major,23,92,71,61,74,7,10,4
19.75808091144457,-21.744087959199486,Major,30,138,51,32,53,17,31,6
-12.231452710026256,-53.72168980071864,Major,23,170,55,58,72,11,11,15
9.850057326883409,-28.579589712550145,Minor,18,144,65,23,80,14,11,6
-21.30945727327297,-26.568833318519008,Major,1,141,92,66,58,19,8,24
-24.66680823824996,-39.9666099114484,Minor,16,148,67,83,76,48,8,3
19.028639875984847,26.36468084797927,Major,7,100,67,26,71,37,11,4
11.98871359370012,-8.490831552761493,Minor,15,130,85,22,62,12,28,9
1.9490647777454304,-58.457874188994246,Minor,17,170,81,56,48,21,8,33
-11.13982992057948,43.12428559572814,Minor,17,83,57,56,72,23,27,5
-13.94462038197417,-29.07096524350141,Minor,7,150,78,52,82,18,15,7
-24.27280499541904,3.5069176604009686,Major,12,118,71,65,68,6,3,7
68.99530734246977,-0.6334676358287463,Minor,14,130,51,32,43,83,9,3
-7.901936928697114,-63.45085271177806,Minor,31,174,52,66,73,34,31,6
-13.191576673567017,37.06339745402722,Major,8,89,64,43,73,5,16,4
-7.3790549380248,6.107620540695394,Minor,24,120,78,76,59,43,34,3
97.9358002981694,53.89493134999688,Major,13,78,44,14,9,96,10,3
-29.967669800141056,25.049236191147223,Major,31,100,86,67,66,14,12,16
-8.237986082677711,1.755297556219798,Major,24,120,63,36,73,0,36,4
-44.6108656695118,-26.64584898141454,Minor,22,140,65,87,74,22,42,4
-42.04829516702109,-3.7959413560670967,Major,7,123,69,82,76,6,6,3
17.17430128211741,-20.491684673945727,Minor,1,135,48,44,42,12,11,3
-35.38945544404985,-15.63341511695558,Minor,31,133,85,81,67,26,12,5
-51.59874809515431,25.475102157876183,Major,2,99,85,83,68,7,36,20
-58.3659325982895,-11.172715061033832,Minor,22,130,79,96,86,9,9,9
-40.5951469422708,19.961410472397063,Major,25,107,80,82,80,43,14,4
-55.25074104841672,-1.6162679676475689,Minor,29,122,81,74,71,14,56,4
21.07561501222056,-88.46251256464812,Major,31,204,52,52,68,46,15,4
-49.48408734236842,9.512165157301576,Minor,25,110,67,78,85,2,33,5
-12.800875338878484,-7.110749209173529,Minor,13,126,74,35,84,0,11,6
-10.112430092108715,-57.77887068991822,Major,28,168,56,63,87,39,11,5
27.5129605884472,31.031811033228024,Minor,2,98,71,17,61,36,8,5
-9.673152147185458,25.137720860113564,Major,21,97,64,51,63,12,19,5
37.65893471441498,-67.32291759479229,Minor,23,180,72,61,63,67,9,28
-22.698005569482927,2.045386309022857,Major,1,120,81,63,68,11,11,4
15.013541830171896,-28.373319388102555,Major,7,150,61,39,73,37,11,3
-19.841082173358902,26.38471389520808,Major,1,96,75,57,68,9,13,6
-21.61123606553508,33.24287060663772,Major,1,95,60,48,79,0,12,4
-54.55123529071301,-6.815617520376724,Minor,19,125,79,96,85,27,11,6
-26.96071568234385,-31.33635465275396,Minor,10,144,56,84,65,23,10,6
-16.565538724627757,63.80846094923752,Major,9,90,76,91,50,54,7,5
-31.26578566381232,-22.349899079247976,Minor,26,128,56,38,97,4,35,4
5.901369479123683,49.54368119348861,Major,21,79,56,58,56,37,11,10
7.0007189776026655,-35.82538739614933,Major,23,144,77,75,58,52,23,25
-7.388400265404595,0.2118275593094872,Major,27,122,67,49,64,10,10,3
-39.7604408261582,-21.72034849390846,Major,13,140,71,82,81,11,6,5
-1.4565591314937536,-14.77079198817096,Minor,24,134,59,51,52,9,15,7
0.6197397430803036,-70.28023257662282,Major,21,186,68,49,59,16,13,28
-2.5003553000983567,68.92037160831515,Minor,24,67,53,50,53,23,44,7
12.364472937273993,25.422313940254814,Minor,2,106,72,17,64,7,10,5
-0.4019701903577508,-22.06255178399988,Major,6,128,60,23,91,0,12,3
-18.17480712269531,17.7593435792098,Minor,24,107,92,55,70,18,15,7
-56.528583964667696,-12.944363809763184,Minor,15,130,67,96,88,12,8,4
64.82666877461396,4.587438363922947,Minor,15,123,45,13,54,70,9,4
-4.558613911718929,-64.34384429411746,Major,29,171,50,38,80,0,9,7
-32.976735933242736,-32.035766954277285,Minor,24,137,64,88,72,51,17,5
20.685808123507343,-4.260435544599191,Minor,26,125,84,85,68,58,22,4
31.97170857746752,0.0087914348780227,Minor,14,128,86,42,72,59,9,19
29.0497162066134,-4.4654583553306,Minor,24,130,61,53,58,55,27,4
-24.64609381138956,-22.725667332400807,Major,4,130,86,59,96,50,9,5
-40.94766182184902,-16.593960123863454,Major,3,133,70,86,81,25,25,5
22.863834634460687,43.07018458231105,Major,24,101,88,72,59,62,9,3
39.63105004939269,40.034009020347696,Minor,24,95,77,53,64,74,17,14
-16.715448916467214,42.87173590654056,Minor,6,98,90,40,59,0,10,29
11.63376288303395,-67.43756805622277,Major,1,173,43,28,66,0,23,3
8.16204670073975,64.6821493089684,Major,21,90,64,10,62,7,48,7
33.21815551672929,-84.90493139919546,Minor,2,198,59,71,42,55,10,7
-14.489818193459696,-26.1003363786432,Major,14,140,56,48,73,0,35,4
6.611586102653257,60.15926931070305,Major,7,82,51,22,53,1,15,3
-53.93231711891831,-12.686885580925791,Minor,23,130,77,84,89,17,43,5
12.801918904732773,48.77242597436086,Major,28,81,76,53,53,44,9,9
53.5638507340714,37.049320667015685,Minor,15,94,51,14,59,65,25,3
-10.05802173990434,-4.658908474787119,Major,14,124,61,41,81,5,10,3
-21.7354957082758,-9.011753282126351,Major,6,128,62,55,78,1,23,4
4.3324134458539225,-22.867310677309376,Minor,1,138,49,42,62,9,11,3
41.00290654393312,-4.9489976603912735,Major,17,132,58,27,48,50,12,3
16.370049032896635,-15.014917122531696,Major,22,131,71,24,47,1,27,9
-21.86775089736119,-49.7856418953897,Minor,20,168,78,58,73,5,10,7
2.944900614881988,28.282236942303843,Major,22,98,68,40,79,33,30,6
16.93614249176599,24.667915450269863,Major,1,102,48,50,73,43,15,4
64.41555333662329,29.73643430762748,Major,22,101,34,32,57,78,20,3
65.05740597071856,-1.7076995875807248,Major,23,130,63,36,34,76,35,9
17.828288387043543,-34.28538864969709,Major,7,142,50,20,64,1,12,3
-10.397344680612983,-54.30976025934035,Major,9,170,59,48,76,4,10,5
-31.0924710728372,-2.857369465059204,Minor,3,124,78,70,68,3,11,4
58.05232369122134,18.5103531798738,Major,8,110,50,45,41,75,11,3
-16.807449369829218,37.81294193850219,Minor,6,92,91,43,71,9,9,8
11.182666532619306,10.117143844312553,Major,22,116,82,40,66,39,25,7
44.210518737640186,-20.98140861100069,Major,20,129,63,84,82,70,9,7
-18.1563514941182,24.914333420049942,Major,24,98,71,67,60,19,12,3
-33.53161567047519,-54.39462546617291,Minor,17,172,74,76,76,6,10,9
15.664009692480407,-41.836344834898895,Major,17,150,68,14,76,4,10,4
23.015008166376926,-19.286433136528206,Minor,8,136,62,19,53,11,6,4
-6.0076906892136,86.06490497126487,Minor,5,88,53,34,47,9,83,4
-19.541185665829406,-35.03726712302858,Major,12,143,83,69,44,15,10,33
66.81446985639951,28.632258553104112,Minor,17,100,49,17,35,71,11,3
9.180170965614414,-23.70034574973296,Major,9,143,56,39,55,14,11,13
11.056303973658888,14.235172360896598,Minor,1,112,56,24,66,7,12,3
-22.285549285928795,38.221630688815786,Major,9,93,62,57,59,3,38,3
35.80427734728239,-87.91260465881497,Major,1,206,43,50,55,50,15,10
8.011903795709337,48.6005463181486,Minor,2,88,68,17,71,15,11,5
-10.08370107342208,-64.56921995459574,Major,14,170,50,37,90,0,12,5
9.570926820616556,51.575469556567086,Minor,1,84,62,24,67,21,13,28
15.57550551357024,-9.022736594817204,Minor,7,134,81,53,72,51,12,5
48.89358968642544,-34.47968785091105,Major,20,158,54,50,40,61,10,6
-55.38914443211768,4.231072960665393,Major,10,116,80,92,80,4,10,3
-10.730851319466613,6.066115409539524,Major,28,117,61,45,69,2,9,3
-29.32629695042523,7.520836155895997,Minor,11,114,77,65,72,2,7,5
-13.52760715120555,15.329193362921428,Minor,1,108,61,47,68,0,13,3
4.500439856156536,-26.008283991789742,Minor,1,144,74,37,53,7,21,10
69.2361820740539,-1.3286093433767034,Major,2,130,51,18,44,76,11,3
-23.362829787720663,7.331077537441748,Major,22,116,77,79,62,33,15,3
-18.67663406745768,-0.3459859972127715,Major,7,121,65,49,78,0,17,4
-2.3887035816566686,11.815884360985216,Major,17,112,64,54,81,36,11,6
11.836890832629548,28.402750389925696,Minor,9,100,70,47,52,30,6,33
13.416216901050507,-33.2173644031068,Minor,25,150,55,30,78,24,12,8
-56.983611902837936,0.5014444888051015,Minor,8,120,84,96,71,18,34,17
